S.no,Items,Description,Price(in AED),Image url
71,Diet Pepsi,,4,https://images.deliveryhero.io/image/talabat/Menuitems/Diet_Pepsi_637525297459491384.jpg?width=172&amp;height=172
72,Mountain Dew,,4,https://images.deliveryhero.io/image/talabat/Menuitems/MtDew_Logo_637525297464300965.jpg?width=172&amp;height=172
73,7 Up,,4,https://images.deliveryhero.io/image/talabat/Menuitems/IMG-20201219-WA0048_637525297470781906.jpg?width=172&amp;height=172
74,Diet 7 Up,,4,https://images.deliveryhero.io/image/talabat/Menuitems/7_Up_Diet_Logo_637525297475199542.png?width=172&amp;height=172
,,,,
0,Chicken White Pasta,"Italian penne pasta, fresh mushrooms, Mama's white sauce, chicken, Mozzarella cheese, and Parmesan cheese.",38,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637646323762930186?width=172&amp;height=172
1,Four Cheese Pasta,"Penne pasta, pepperjack cheese, provolone cheese, mozzarella cheese and parmesan cheese.",25,
2,Mama's Pink Pasta,"Italian penne pasta, chicken, fresh white mushrooms, Mama's white sauce, rich tomato sauce, mozzarella cheese, parmesan cheese,  and chili flakes.",39,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637646325425438471?width=172&amp;height=172
3,Creamy Mushroom Pasta,"Italian spaghetti, sauteed mushrooms, garlic, Parmesan cheese, and Mama's white sauce.",36,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637646326279728528?width=172&amp;height=172
4,Creamy Beef Cheese Pasta,"Italian spaghetti pasta, Tex Mex beef, Mama's sauce, Cheddar cheese, Parmesan parsley garnish.",42,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637646326766183694?width=172&amp;height=172
5,Parmesan Shrimp Pasta,"Italian penne pasta, Mama's white sauce, shrimps, parmesan cheese,  and spinach.",45,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637646327483194510?width=172&amp;height=172
6,Melty Mozzarella Cheese Sticks,Fried mozzarella cheese Served with marinara sauce.,26,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637518882727103546?width=172&amp;height=172
7,Parmesan Chicken Strips,Chicken strips crispy fried served with garlic parmesan cheese sauce,35,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637518881354262546?width=172&amp;height=172
8,Chicken Wings,6 jumbo chicken wings coated with a sauce of your choice and served with homemade ranch dip.,32,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637518881995228850?width=172&amp;height=172
9,Boneless Chicken Wings,6 Pieces of marinated and fried boneless wings coated with a sauce of your choice served with homemade ranch sauce,28,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637518886238989158?width=172&amp;height=172
10,Super Mexican Salad,"Lettuce, grilled chicken, corn, bell peppers, cherry tomatoes, onions, black beans, shredded cheddar cheese and creamy Mexican dressing.
",45,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637429586667944383?width=172&amp;height=172
11,Mediterranean Chicken Salad,"Grilled chicken, mixed lettuce, cherry tomatoes, onions, olives, cucumbers, caramelized walnuts and vinaigrette with olive oil.
",40,https://images.deliveryhero.io/image/talabat/Menuitems/20201123_Talabat_UAE_637419201463643272.jpg?width=172&amp;height=172
12,Pepsi,,8,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637436472628411172?width=172&amp;height=172
13,7 Up,,8,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637436473459679626?width=172&amp;height=172
14,Mirinda,,8,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637436475014293593?width=172&amp;height=172
15,Mountain Dew,,8,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637436475907165062?width=172&amp;height=172
16,Rose Lemonade,,18,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637436476980586604?width=172&amp;height=172
17,Mineral Water,,5,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637436479415993098?width=172&amp;height=172
,,,,
0,Egyptian Mahshi ,,70,
1,Mombar With Knuckles,,51,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024441511545517.jpg?width=172&amp;height=172
2,Half Roasted Chicken With Rice And Molokia Meal,,30,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024437939443401.jpg?width=172&amp;height=172
3,Roasted Meat With Rice And Molokia Meal,,32,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024441529963170.jpg?width=172&amp;height=172
4,Seafood With Rice And Soup,,40,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024442387513017.jpg?width=172&amp;height=172
5,Grilled Chicken With Rice,,35,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024439472213922.jpg?width=172&amp;height=172
6,Regular Seafood Soup,"Shrimp, fillet, calamari and crab. ",20,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403884742202852?width=172&amp;height=172
7,Seafood Cream Soup,"Shrimp, fillet, calamari and crab. ",25,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403898254815671?width=172&amp;height=172
8,Shrimp Soup,,22,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403899538388841?width=172&amp;height=172
9,Molokhia With Shrimp Soup,,25,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403884349969732?width=172&amp;height=172
10,Roasted Meat With Rice And Vegetable Meal,,32,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024441546278804.jpg?width=172&amp;height=172
11,Chicken Stuffed With Khalta Meal,,41,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024437992704469.jpg?width=172&amp;height=172
12,1/2 Roasted Chicken With Rice And Vegetable Meal,,30,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024441561413306.jpg?width=172&amp;height=172
13,1/2 Grilled Chicken With Steamed Rice Meal,,29,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791428328098332?width=172&amp;height=172
14,Veal Shank With Rice And Vegetable Meal,,40,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024442403224304.jpg?width=172&amp;height=172
15,Egyptian Duck With Rice And Vegetable Meal,,0,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024438011542528.jpg?width=172&amp;height=172
16,Egyptian Stuffed Pigeons Meal,,0,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024438029389633.jpg?width=172&amp;height=172
17,3 Kilo Tilapia Fish,,79,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637402988372283936?width=172&amp;height=172
18,3 Kilo Mullet Fish ,,99,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637402989202169483?width=172&amp;height=172
19,3 Kilo Supream Fish,,169,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791439672486014?width=172&amp;height=172
20,3 Kilo Sea Bass Fish ,,225,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403902128123756?width=172&amp;height=172
21,3 Kilo Medium Shrimp,,140,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637402992036379144?width=172&amp;height=172
22,1 Kilo Whole Pieces Salmon ,,94,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637402992640017895?width=172&amp;height=172
23,1.5 Kilo Meal,"Fish, squid, shrimp, crab, fillet.",98,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791443916130312?width=172&amp;height=172
24,2 Kilo Meal,"Fish, squid, shrimp, crab, fillet.",142,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791444500633399?width=172&amp;height=172
25,3 Kilo Meal,"Fish, squid, shrimp, crab and fillet",175,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791444971213614?width=172&amp;height=172
26,Mix Grill Mutton Tray 3 Kilo,,237,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637402993527098581?width=172&amp;height=172
27,Mix Grill Mutton And Chicken Tray 3 Kilo,,166,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403907919679170?width=172&amp;height=172
28,Grilled 3 Pieces Chicken Tray With Rice,,89,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791448749972773?width=172&amp;height=172
29,Mullet Fish With Rice Meal,,25,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791452508411426?width=172&amp;height=172
30,Tilapia Fish With Rice Meal,,21,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791453903883800?width=172&amp;height=172
31,1/4 Chicken With Rice And Vegetable Meal,,21,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791458629772496?width=172&amp;height=172
32,Quarter Chicken Biranyi Meal,,16,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791461528435783?width=172&amp;height=172
33,Kebab Birayni Meal,,16,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791466238699198?width=172&amp;height=172
34,Fish Biryani Meal,,16,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791467766683735?width=172&amp;height=172
35,Charcoal Grilled Mutton Kebab,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791475122416961?width=172&amp;height=172
36,Charcoal Grilled Chicken Kebab,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403920672005272?width=172&amp;height=172
37,Charcoal Grilled Tarb,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403921572761340?width=172&amp;height=172
38,Charcoal Grilled Egyptian Kebab,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403922284144818?width=172&amp;height=172
39,Charcoal Grilled Mutton Ribs,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403923114970767?width=172&amp;height=172
40,Mix Grill Mutton,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791478647275346?width=172&amp;height=172
41,Mix Grill Chicken And Mutton,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403925964281674?width=172&amp;height=172
42,Charcoal Grilled Chicken,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791658981013411?width=172&amp;height=172
43,Grilled Chicken,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637810322039368927?width=172&amp;height=172
44,Mix Semeen Order,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791667500735091?width=172&amp;height=172
45,Alexandrian Liver Order,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637791669443659003?width=172&amp;height=172
46,Liver With Onion Order,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403933313491593?width=172&amp;height=172
47,Alexandrian Sausage Order,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403937032804438?width=172&amp;height=172
48,Grilled Liver Order,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403937567462762?width=172&amp;height=172
49,Fried Liver Order,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403939984752876?width=172&amp;height=172
50,Stuffed Cabbage Plate,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637792176110932468?width=172&amp;height=172
51,Stuffed Vine Leaves Plate,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637401828772638847?width=172&amp;height=172
52,Mix Mahshi Plate,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637402960934011124?width=172&amp;height=172
53,Mombar Plate,,0,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024441634958707.jpg?width=172&amp;height=172
54,Mahshi With Chicken,,32,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024439536211475.jpg?width=172&amp;height=172
55,Mahshi With Meat,,35,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024439553054438.jpg?width=172&amp;height=172
56,Mahshi With Duck,Half Duck,63,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637402963991153614?width=172&amp;height=172
57,Mahshi With Knuckles,,52,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024439568198948.jpg?width=172&amp;height=172
58,Shank With Mahshi,,52,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637792203725330631?width=172&amp;height=172
59,Okra With Beef Casserole,,37,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637792208655693268?width=172&amp;height=172
60,Potatoes With Beef Casserole,"Served with rice and salads
",37,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637792210011267800?width=172&amp;height=172
61,Peas With Beef Casserole,,37,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637793440513063726?width=172&amp;height=172
62,Oxtail With Khalta Casserole,,40,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024441613611952.jpg?width=172&amp;height=172
63,Knuckles Fatteh,,42,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637792218393645942?width=172&amp;height=172
64,Meat Fatteh ,,35,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637403961020911809?width=172&amp;height=172
65,Egyptian Tilapia Fish,"2 Pieces served with rice, bread, salad and tahina. ",0,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024439586996968.jpg?width=172&amp;height=172
66,Mullet Fish,"2 Pieces served with rice, bread, salad and tahina. ",0,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024441658691448.jpg?width=172&amp;height=172
67,Sheri Fish,"2 pieces served with rice, bread, salad and tahina. ",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404391505112861?width=172&amp;height=172
68,Hammour Fish Fillet,"Fillet served with rice, bread, salad and tahina. ",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404394498993107?width=172&amp;height=172
69,Mackerel Fish Fillet,"Fillet served with rice, bread, salad and tahina. ",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404395081511171?width=172&amp;height=172
70,Supream Fish,"1 Pieces served with rice, bread, salad and tahina. ",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404396827848580?width=172&amp;height=172
71,Salmon Fish,"1 Pieces served with rice, bread, salad and tahina. ",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404401521502173?width=172&amp;height=172
72,Sea Bass Fish,"Served with rice, bread, salad and tahina. ",0,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024441673125283.jpg?width=172&amp;height=172
73,Mix Fried Meal,,35,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404409037357531?width=172&amp;height=172
74,Great Meal,"2 pieces grilled or fried fish, shrimp rice, seafood soup. Served with bread, salad, tahini, pepsi and water. ",65,
75,Medium Shrimp ,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404417325387561?width=172&amp;height=172
76,Large Shrimp ,"Shrimp served with rice, bread, salad and tahina. ",0,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024442461339992.jpg?width=172&amp;height=172
77,Squid,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404463954793848?width=172&amp;height=172
78,Crab,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404465879702309?width=172&amp;height=172
79,Seafood Mix Casserole,,44,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637414847394704163?width=172&amp;height=172
80,Squid With Khalta Casserole,,28,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404476712326692?width=172&amp;height=172
81,Fillet With Khalta Casserole,,30,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404478070521720?width=172&amp;height=172
82,Roe And Shrimp Casserole,,55,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404481249351015?width=172&amp;height=172
83,Alexandrian Liver Sandwich,,0,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024438103408089.jpg?width=172&amp;height=172
84,Alexandrian Sausage Sandwich,,0,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024438120270025.jpg?width=172&amp;height=172
85,Hawawshi Sandwich,,12,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024439603823099.jpg?width=172&amp;height=172
86,Special Hawawshi Sandwich,,15,
87,Charcoal Grilled Kebab Sandwich,,11,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024438138347355.jpg?width=172&amp;height=172
88,Charcoal Grilled Tarab Sandwich,,13,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404484628406462?width=172&amp;height=172
89,Mix Semeen Sandwich,,12,https://images.deliveryhero.io/image/talabat/Menuitems/20190822_Talabat_UAE_637024441695666879.jpg?width=172&amp;height=172
90,Special Semeen Sandwich,,14,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637434145433505586?width=172&amp;height=172
91,Hammour Fish Fillet Sandwich,,10,
92,Fresh Shrimp Sandwich,,16,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404488931468266?width=172&amp;height=172
93,Fried Squid Sandwich,,10,
94,Mix Seafood Sandwich,,19,
95,Spaghetti With Shrimp,,21,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404498224065227?width=172&amp;height=172
96,Pasta With Minced Meat,,25,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404499027222110?width=172&amp;height=172
97,Pasta With Sauce,,12,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404503869990600?width=172&amp;height=172
98,Vermicelli Rice,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404518509277468?width=172&amp;height=172
99,Biryani Rice,,7,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404521256145730?width=172&amp;height=172
100,Small Sayadiyah Rice,,8,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404530784146290?width=172&amp;height=172
101,Rice With Shrimps,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404530347192329?width=172&amp;height=172
102,Rice With Seafood Mix,"Squid, fillet, shrimp, crab",0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404531711196424?width=172&amp;height=172
103,Water,,0,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404533299614421?width=172&amp;height=172
104,Hibiscus,,5,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637404533624609712?width=172&amp;height=172
105,Pepsi,300 ml.,5,https://images.deliveryhero.io/image/talabat/Menuitems/pepsi-Can_637001743189324374.jpg?width=172&amp;height=172
106,7 Up,300 ml.,5,https://images.deliveryhero.io/image/talabat/Menuitems/7up-Can_637001743203648100.jpg?width=172&amp;height=172
107,Mirinda,300 ml.,5,https://images.deliveryhero.io/image/talabat/Menuitems/Mirinda-Can_637001743256058325.jpg?width=172&amp;height=172
,,,,
0,Tiramisu,,25,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637883085853929352?width=172&amp;height=172
1,Pistachio Milkshake,,30,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664616893379.jpg?width=172&amp;height=172
2,Vanilla With Berry Milkshake,,24,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664634314430.jpg?width=172&amp;height=172
3,Chocolate Milkshake,,24,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664653885949.jpg?width=172&amp;height=172
4,Strawberry Mojito,,21,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664660132719.jpg?width=172&amp;height=172
5,Blue Ocean Mojito,,21,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664670263689.jpg?width=172&amp;height=172
6,Classic Mojito,,21,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664680223343.jpg?width=172&amp;height=172
7,Four Seasons Mojito,,21,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664686524722.jpg?width=172&amp;height=172
8,Cold Spanish Latte,,24,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664697849053.jpg?width=172&amp;height=172
9,Cold Pistachio Latte,,30,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664705605741.jpg?width=172&amp;height=172
10,Cold Saffron Latte,,27,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664714777124.jpg?width=172&amp;height=172
11,Cold Rose Latte,,26,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664722326636.jpg?width=172&amp;height=172
12,Cold Salted Caramel Latte,,26,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664728973260.jpg?width=172&amp;height=172
13,Iced Violet Latte ,,26,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637374505636957990?width=172&amp;height=172
14,Iced Chocolate Latte ,,26,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637374506059472545?width=172&amp;height=172
15,Iced Hibiscus,,21,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637601359713980087?width=172&amp;height=172
16,Acai Smooties,,30,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637883094362812511?width=172&amp;height=172
17,Iced V60,,35,
18,Iced Chemex,,35,
19,Hot Spanish Latte,,24,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664736313953.jpg?width=172&amp;height=172
20,Hot Rose Latte,,26,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664743047976.jpg?width=172&amp;height=172
21,Hot Saffron Latte,,27,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664748630498.jpg?width=172&amp;height=172
22,Hot Pistachio Latte,,30,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664756131813.jpg?width=172&amp;height=172
23,Flat White,7 Oz cup,21,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664762841674.jpg?width=172&amp;height=172
24,Cortado,4 Oz cup,21,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664770661402.jpg?width=172&amp;height=172
25,Hot V60,,35,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664777092470.jpg?width=172&amp;height=172
26,Americano,9 Oz cup,19,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664784009137.jpg?width=172&amp;height=172
27,Cappuccino,9 Oz cup,23,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664803547935.jpg?width=172&amp;height=172
28,Cafe' Latte,9 Oz cup,23,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664833208795.jpg?width=172&amp;height=172
29,Hot  Salted Caramel Latte,,26,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664839758498.jpg?width=172&amp;height=172
30,Hot Chocolate Latte,,26,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637374507113937725?width=172&amp;height=172
31,Hot Violet Latte,,26,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637374507427024241?width=172&amp;height=172
32,Hot Chemex,Filtered coffee,30,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637374507665755092?width=172&amp;height=172
33,Spanish Latte Bottle,,0,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664846612163.jpg?width=172&amp;height=172
34,Saffron Latte Bottle,,0,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664854443488.jpg?width=172&amp;height=172
35,Pistachio Latte Bottle,,0,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664859612680.jpg?width=172&amp;height=172
36,Rose Latte Bottle,,0,https://images.deliveryhero.io/image/talabat/Menuitems/20200910_Talabat_UAE_637358664864962639.jpg?width=172&amp;height=172
37,Bottled Coffee Box,"150 Ml, 3 Spanish Latte, 3 Pistachio Latte, 3 Saffron Latte, 2 Rose Latte, 2 Violet Latte
And 2 Chocolate Latte.",210,
